salinity,ph,DO,temperature,oxygen,co3,hco3,tom,hard,ca,tan,no2,po4,mg,no3,alkalinity,class
31.5,9.2,0,0,86.8,0,0,0,0,0,0.05,0.02,0.2,0,10,0,ph
33.5,8.8,0,0,86,32,102,85.07,6169.12,1094.52,0.04,0.01,0.19,5074.6,10,134,ph
33.5,8.8,0,0,0,0,0,0,0,0,0.334,0.038,0.587,0,5,0,ph
34,8.5,0,0,0,16,150,111.873,6734.706,1122.451,1.16,0.02,0.52,5612.255,10,166,ph
0,0,5.71,27.4,87.5,0,0,0,0,0,0.03,0.01,0.19,0,10,0,do
0,0,5,28,0,0,0,0,0,0,0.149,0,0.227,0,5,0,do
34.5,8.2,0,0,0,12,138,109.968,6598.995,1218.276,0.578,0.009,0.32,5380.719,5,150,safe
0,0,0,0,0,28,108,107.27,6169.12,1094.52,0.06,0.02,0.23,5074.6,17.5,136,safe
0,0,5,28,0,60,64,85.96,5800,1000,0.02,0.01,0.25,4800,5,124,do
31.5,9.1,0,0,0,28,110,107.27,6169.12,995.02,0.07,0.02,0.26,5174.1,17.5,138,ph
0,0,0,0,0,4,148,118.816,6598.995,1116.753,0.053,0.042,0.388,5482.242,10,152,safe
0,0,5,27,0,0,0,0,0,0,0.121,0.029,0.399,0,10,0,do
0,0,5,28,0,20,148,115.644,6632.665,1224.492,1.53,0.03,0.81,5408.173,17.5,168,do
0,0,5,28,0,0,0,0,0,0,0.03,0.01,0.15,0,17.5,0,do
32,9.3,0,0,0,0,0,0,0,0,0.04,0.02,0.2,0,10,138,ph
34,8.7,0,0,0,0,0,0,0,0,1.481,0.022,0.922,0,5,0,ph
0,0,5.31,28,81.5,60,66,82.11,5800,1000,0.18,0.01,0.26,4800,5,126,do
32,9.6,0,0,0,40,98,85.07,6169.12,1094.52,0.05,0.01,0.19,5074.6,17.5,138,ph
34.5,8.4,0,0,0,0,0,0,0,0,0.05,0.03,0.22,0,10,0,ph
32.5,9.1,0,0,85.1,0,0,0,0,0,0.116,0.014,0.318,0,5,0,ph
33,8.7,0,0,0,0,66,93.66,5900,1000,0.02,0.01,0.21,4900,5,114,ph
34,8.3,0,0,0,12,134,118.816,6700.518,1218.276,0.044,0.042,0.393,5482.242,10,146,safe
31.5,9.3,0,0,0,0,0,0,0,0,1.198,0.029,0.886,0,5,0,ph
34,8.7,0,0,87.4,24,114,113.65,6268.63,1094.52,0.08,0.03,0.23,5174.1,10,138,ph
0,0,5,28,0,0,0,0,0,0,0.522,0.031,0.534,0,5,0,do
35,8.4,0,0,0,4,167,199,6938,1122,0.91,0.05,1.11,5816,5,171,ph
32,9,0,0,0,8,162,115.644,6734.706,1122.451,1.53,0.02,0.81,5612.255,10,170,ph
33.5,8.8,0,0,0,0,0,0,0,0,0.03,0.01,0.16,0,10,0,ph
31.5,9,0,0,86.2,36,96,97.58,6268.63,1094.52,0.09,0.01,0.19,5174.1,17.5,132,ph
0,0,5.83,27.9,89.1,0,0,0,0,0,0.03,0.01,0.15,0,10,0,do
0,0,0,0,0,0,0,0,0,0,0.21,0.02,0.22,0,10,130,safe
32,9,0,0,83.7,0,0,0,0,0,0.812,0.022,0.597,0,5,0,ph
0,0,5,27,0,4,151,204,6836,1224,0.01,0.03,0.31,5612,10,155,do
0,0,5,27,0,8,144,101.817,6734.706,1122.451,0.019,0.029,0.124,5612.255,10,152,do
32.5,9,0,0,86.4,0,0,0,0,0,0.056,0.008,0.293,0,10,0,ph
0,0,5.58,26.7,85.2,24,112,99.61,6169.12,1094.52,0.12,0.01,0.19,5074.6,10,136,do
32.5,9.4,0,0,0,0,0,0,0,0,0,0.021,0.159,0,10,0,ph
34.5,8.3,0,0,0,52,66,84.68,5800,1000,0.05,0.01,0.23,4800,5,118,safe
32.5,9.4,0,0,0,56,74,91.32,6169.12,1094.52,0.08,0.01,0.19,5074.6,17.5,130,ph
0,0,0,0,0,8,142,109.968,6700.518,1218.276,0.648,0.017,0.301,5482.242,10,150,safe
32,9.3,0,0,0,40,90,88.82,6268.63,1094.52,0.08,0.01,0.2,5174.1,17.5,130,ph
35,8.7,0,0,0,0,0,0,0,0,0.17,0.02,0.24,0,10,0,ph
0,0,5.73,27.8,87.6,8,144,108.704,6598.995,1116.753,0.149,0.029,0.471,5482.242,5,152,do
33.5,9,0,0,0,12,150,105.588,6734.706,1122.451,0.066,0.03,0.201,5612.255,10,162,ph
34,8.4,0,0,0,24,114,91.94,6368.13,1194.02,0.37,0.01,0.28,5174.1,10,138,ph
34.5,8.3,0,0,0,60,66,88.53,5900,1000,0.46,0.01,0.29,4900,5,126,safe
34.5,8.4,0,0,0,0,0,0,0,0,0.604,0.008,0.389,0,5,0,ph
0,0,5,28,0,0,0,0,0,0,0.03,0.01,0.2,0,10,0,do
0,0,0,0,0,0,0,0,0,0,0.497,0.025,0.733,0,5,0,safe
34.5,8.3,0,0,0,32,100,98.83,6268.63,1094.52,0.05,0.01,0.19,5174.1,10,132,safe
34,8.4,0,0,0,8,156,188.55,6734.706,1122.451,0.7,0.02,0.17,5612.255,10,164,ph
32,9,0,0,0,0,0,0,0,0,1.094,0.03,0.845,0,5,0,ph
32.5,9,0,0,85.5,48,66,88.53,5900,1000,0.04,0.01,0.34,4900,5,114,ph
0,0,0,0,0,32,110,108.55,6268.63,1094.52,0.05,0.03,0.26,5174.1,10,142,safe
32,9,0,0,83.6,0,0,0,0,0,0.03,0.01,0.15,0,5,0,ph
31.5,9.1,0,0,0,0,0,0,0,0,0.075,0.03,0.333,0,5,0,ph
0,0,5.18,28.6,80.1,0,0,0,0,0,0.05,0.02,0.22,0,10,0,do
31.5,8.8,0,0,0,4,146,120.08,6700.518,1116.753,0.416,0.028,0.291,5583.765,5,150,ph
34,8.4,0,0,0,4,167,214,6836,1122,0.1,0.08,0.73,5714,5,171,ph
32,9.1,0,0,82.8,8,158,114.387,6632.665,1122.451,0.55,0.03,0.36,5510.214,10,166,ph
0,0,5,27,0,4,146,117.552,6598.995,1218.276,0.949,0.018,0.553,5380.719,5,150,do
0,0,0,0,0,32,100,91.32,6169.12,1094.52,0.12,0.01,0.2,5074.6,10,132,safe
34.5,8.3,0,0,0,52,62,91.09,5800,1100,0.04,0.01,0.23,4700,5,114,safe
0,0,5.54,28.3,85.3,0,0,0,0,0,0.02,0.01,0.16,0,17.5,0,do
33.5,8.5,0,0,0,28,110,111.1,6169.12,995.02,0.05,0.03,0.23,5174.1,10,138,ph
34.5,8.4,0,0,0,0,0,0,0,0,0.04,0.02,0.2,0,10,0,ph
0,0,5.36,28.4,82.8,0,0,0,0,0,0.508,0.044,0.553,0,5,0,do
0,0,0,0,0,0,0,0,0,0,0.064,0.025,0.333,0,5,0,safe
0,0,5.38,28.2,82.7,0,0,0,0,0,0.583,0.051,0.549,0,5,0,do
34.5,8.6,0,0,0,32,106,113.65,6169.12,1094.52,0.06,0.03,0.28,5074.6,10,138,ph
0,0,5,28,0,0,0,0,0,0,1.051,0.021,0.845,0,5,0,do
0,0,5,27,0,32,92,92.57,6169.12,1094.52,0.08,0.01,0.19,5074.6,10,124,do
0,0,5.55,27.8,84.8,16,150,188.55,6734.706,1122.451,0.46,0.03,0.34,5612.255,10,166,do
32,9,0,0,0,0,0,0,0,0,0.07,0.022,0.318,0,5,0,ph
32.5,8.9,0,0,87.9,60,58,89.81,5900,1100,0.03,0.01,0.22,4800,5,118,ph
0,0,5,27,0,0,0,0,0,0,0.04,0.02,0.23,0,10,0,do
33.5,8.6,0,0,0,8,138,120.08,6700.518,1218.276,0.535,0.024,0.393,5482.242,5,146,ph
32,8.9,0,0,83.9,0,0,0,0,0,0.04,0.01,0.15,0,10,0,ph
32,9.3,0,0,0,0,0,0,0,0,0.05,0.02,0.21,0,10,0,ph
31.5,8.9,0,0,90.4,60,58,91.09,5900,1000,0.17,0.01,0.28,4900,5,118,ph
34,8.3,0,0,0,0,0,0,0,0,0.14,0.05,0.39,0,10,0,safe
0,0,5.47,28.4,84.3,20,106,109.82,6368.13,1094.52,0.05,0.02,0.21,5273.61,10,126,do
0,0,0,0,0,12,138,118.816,6700.518,1116.753,0.295,0.037,0.291,5583.765,5,150,safe
0,0,5.47,27.9,83.8,0,0,0,0,0,0.03,0.01,0.15,0,10,0,do
0,0,5,28,0,28,102,85.07,6268.63,995.02,0.07,0.01,0.19,5273.61,10,130,do
32.5,9.3,0,0,0,0,0,0,0,0,0.057,0.016,0.328,0,5,0,ph
34,8.8,0,0,0,16,142,115.644,6836.747,1122.451,0.32,0.02,0.11,5714.296,10,158,ph
35,8.3,0,0,0,0,0,0,0,0,1.26,0.03,0.79,0,5,0,safe
32.5,9.1,0,0,81.6,0,0,0,0,0,0.05,0.02,0.2,0,10,0,ph
34,8.5,0,0,0,0,0,0,0,0,0.03,0.01,0.15,0,10,0,ph
0,0,0,0,0,28,100,93.83,6268.63,1094.52,0.06,0.01,0.16,5174.1,10,128,safe
33.5,8.8,0,0,87.7,52,66,88.53,5900,1100,0.03,0.01,0.26,4800,5,118,ph
0,0,5.51,26.1,82.7,0,0,0,0,0,0.075,0.033,0.424,0,10,0,do
0,0,5,27,0,16,150,183.522,6734.706,1224.492,0.6,0.03,0.37,5510.214,10,166,do
34,8.8,0,0,0,28,112,108.55,6268.63,1094.52,0.05,0.02,0.23,5174.1,10,140,ph
0,0,5.36,26.9,82.9,4,144,117.552,6700.518,1116.753,0.453,0.028,0.398,5583.765,5,148,do
32,8.9,0,0,87.7,0,0,0,0,0,0.04,0.03,0.15,0,5,0,ph
35,8.3,0,25.1,0,28,110,116.21,6268.63,1094.52,0.07,0.05,0.3,5174.1,17.5,138,temp
31,9,0,0,0,16,158,114.387,6632.665,1122.451,1.1,0.02,0.59,5510.214,10,174,ph
0,0,5,28,0,0,0,0,0,0,0.06,0.03,0.24,0,10,0,do
0,0,0,0,0,8,150,182.016,6598.995,1116.753,0.861,0.024,0.578,5482.242,5,158,safe
32,9.2,0,0,0,60,60,94.94,5800,1000,0.11,0.01,0.44,4800,5,120,ph
34,8.4,0,0,0,0,0,0,0,0,0.94,0.03,0.97,0,10,0,ph
32,9,0,0,0,0,0,0,0,0,0.694,0.034,0.664,0,5,0,ph
33.5,8.7,0,0,0,32,96,85.07,6268.63,1094.52,0.06,0.02,0.19,5174.1,10,128,ph
34,8.4,0,0,0,0,0,0,0,0,0.067,0.029,0.374,0,5,0,ph
31.5,8.9,0,0,0,0,0,0,0,0,0.49,0.05,0.75,0,5,0,ph
32.5,9.1,0,0,85,0,0,0,0,0,0.06,0.019,0.308,0,5,0,ph
35,8.4,0,0,0,0,0,0,0,0,0.03,0.02,0.16,0,5,0,ph
0,0,5,28,0,8,150,113.13,6734.706,1122.451,0.49,0.04,0.36,5612.255,10,158,do
34,8.3,0,0,0,56,64,89.81,5900,1100,0.03,0.01,0.22,4800,5,120,safe
32,9,0,0,87.8,28,116,109.82,6169.12,1094.52,0.05,0.03,0.22,5074.6,10,144,ph
35,8.7,0,0,0,16,126,113.76,6700.518,1116.753,0.044,0.041,0.354,5583.765,10,142,ph
0,0,5.65,28.4,87.2,0,0,0,0,0,0.19,0.02,0.2,0,10,0,do
33.5,8.6,0,0,0,36,90,95.08,6169.12,1094.52,0.11,0.01,0.21,5074.6,17.5,126,ph
32.5,9.3,0,0,0,40,98,102.58,6268.63,1094.52,0.04,0.01,0.21,5174.1,17.5,138,ph
34,8.6,0,0,0,0,0,0,0,0,0.04,0.03,0.23,0,10,0,ph
0,0,5.49,27.4,84.2,12,140,189.6,6802.041,1218.276,0.057,0.039,0.393,5583.765,10,152,do
31.5,9.2,0,0,0,16,162,198.606,6734.706,1122.451,1.95,0.03,1.27,5612.255,10,178,ph
35,8.6,0,0,0,52,72,96.22,5900,1100,0.27,0.01,0.66,4800,5,124,ph
0,0,5.34,26.3,80.3,36,108,112.38,6268.63,1094.52,0.05,0.02,0.23,5174.1,17.5,144,do
34.5,8.9,0,0,0,0,0,0,0,0,1.49,0.04,0.87,0,5,0,ph
34.5,8.7,0,0,0,0,0,0,0,0,0.057,0.017,0.308,0,5,0,ph
32.5,9.4,0,0,0,0,0,0,0,0,0.04,0.01,0.17,0,10,0,ph
33,8.9,0,0,84.1,20,122,107.27,6268.63,1094.52,0.18,0.03,0.24,5174.1,10,142,ph
0,0,5,27,0,52,70,91.09,5900,1100,0.14,0.01,0.34,4800,5,122,do
0,0,5.43,28,83.2,0,0,0,0,0,0.065,0.021,0.323,0,5,0,do
33,8.6,0,0,0,0,0,0,0,0,1.1,0.04,0.9,0,5,0,ph
0,0,0,0,0,0,0,0,0,0,0.05,0.01,0.16,0,10,0,safe
0,0,5,28,0,0,0,0,0,0,0.05,0.03,0.21,0,10,0,do
0,0,5,28,0,36,96,92.57,6268.63,1094.52,0.11,0.01,0.23,5174.1,17.5,132,do
31.5,9,0,0,0,4,152,117.552,6700.518,1116.753,0.77,0.028,0.451,5583.765,5,156,ph
34,8.6,0,0,89.1,12,154,186.036,6734.706,1122.451,0.92,0.04,0.43,5612.255,10,166,ph
0,0,0,0,0,24,114,107.27,6268.63,1094.52,0.05,0.02,0.25,5174.1,10,138,safe
0,0,0,0,0,0,0,0,0,0,1.41,0.02,0.99,0,5,0,safe
35,8.8,0,0,0,0,0,0,0,0,0.06,0.01,0.15,0,10,0,ph
0,0,5.42,28.6,83.9,36,74,88.53,5800,1000,0.18,0.01,0.33,4800,5,110,do
33.5,8.4,0,0,0,0,0,0,0,0,0.067,0.017,0.369,0,5,0,ph
31.5,8.8,0,0,90.8,0,0,0,0,0,0.05,0.02,0.22,0,17.5,0,ph
31.5,9.2,0,0,0,12,152,109.359,6734.706,1122.451,0.81,0.04,0.71,5612.255,17.5,164,ph
34.5,8.4,0,0,0,0,0,0,0,0,0.477,0.034,0.487,0,5,0,ph
0,0,5,27,0,4,142,116.288,6802.041,1218.276,0.036,0.033,0.301,5583.765,10,146,do
31.5,9.6,0,0,0,32,100,91.32,6268.63,1094.52,0.04,0.01,0.19,5174.1,10,132,ph
31.5,8.9,0,0,87.2,16,130,118.816,6598.995,1218.276,0.044,0.034,0.311,5380.719,10,146,ph
0,0,5,28,0,56,68,88.53,5900,1000,0.04,0.01,0.3,4900,5,124,do
34.5,8.3,0,0,0,0,0,0,0,0,0.081,0.023,0.333,0,10,0,safe
32.5,9,0,0,0,0,0,0,0,0,0.797,0.032,0.51,0,5,0,ph
34,8.8,0,0,0,36,98,88.82,6169.12,1094.52,0.05,0.01,0.18,5074.6,10,134,ph
33.5,8.8,0,0,0,4,165,212,6836,1224,0.6,0.04,0.93,5612,10,169,ph
34,8.6,0,0,0,0,0,0,0,0,0.167,0.027,0.578,0,5,0,ph
0,0,5,28,0,12,152,181.008,6734.706,1122.451,0.75,0.02,0.4,5612.255,10,164,do
0,0,5.75,27.9,88.1,0,0,0,0,0,0.05,0.02,0.23,0,10,0,do
31.5,9.1,0,0,0,0,0,0,0,0,0.05,0.01,0.16,0,10,0,ph
33.5,8.8,0,0,0,36,100,104.71,6268.63,1094.52,0.05,0.02,0.22,5174.1,17.5,136,ph
34.5,8.3,0,0,0,0,0,0,0,0,0.16,0.01,0.21,0,10,0,safe
32,9.1,0,0,87.2,4,161,204,6836,1122,0.04,0.05,0.39,5714,5,165,ph
31.5,9.1,0,0,83.1,0,0,0,0,0,0.03,0.01,0.15,0,10,0,ph
31.5,9.1,0,0,89.1,0,0,0,0,0,0.698,0.021,0.646,0,5,0,ph
34,8.5,0,0,0,24,108,108.55,6169.12,1094.52,0.2,0.02,0.21,5074.6,17.5,132,ph
0,0,5,27,0,16,142,111.873,6734.706,1224.492,0,0.02,0.13,5510.214,10,158,do
32.5,9.4,0,0,0,0,0,0,0,0,0,0.04,0.422,0,10,0,ph
0,0,5,28,0,0,0,0,0,0,0.776,0.008,0.369,0,5,0,do
0,0,5.55,28.4,85.7,40,62,96.22,5800,1100,0.21,0.01,2.91,4700,5,102,do
0,0,0,0,0,36,82,92.57,6069.62,1094.52,0.08,0.01,0.19,4975.1,10,118,safe
32.5,9.2,0,0,0,20,122,116.288,6700.518,1218.276,0.114,0.039,0.447,5482.242,10,142,ph
34.5,8.4,0,0,0,0,0,0,0,0,0.04,0.01,0.15,0,10,0,ph
0,0,0,0,0,0,156,186.036,6734.706,1224.492,0.4,0.03,0.18,5510.214,10,156,safe
33.5,8.5,0,0,0,0,0,0,0,0,0.045,0.054,0.587,0,5,0,ph
32.5,9,0,0,88.3,0,0,0,0,0,0.325,0.013,0.242,0,5,0,ph
33,8.8,0,0,0,24,112,102.16,6169.12,1094.52,0.26,0.02,0.22,5074.6,17.5,136,ph
34.5,8.7,0,0,0,0,0,0,0,0,0.899,0.027,0.851,0,5,0,ph
34.5,8.7,0,0,0,4,159,187,6938,1122,1.15,0.05,1.47,5816,10,163,ph
0,0,0,0,0,0,0,0,0,0,0.21,0.01,0.22,0,10,0,safe
35,8.3,0,0,0,60,62,85.96,5800,1000,0.14,0.01,0.77,4800,5,122,safe
0,0,5,28,0,36,86,93.83,6069.62,1094.52,0.07,0.01,0.21,4975.1,17.5,122,do
0,0,0,0,0,8,134,113.76,6700.518,1218.276,0.042,0.031,0.442,5482.242,10,142,safe
0,0,5.89,27.9,90,0,0,0,0,0,0.084,0.059,0.757,0,10,0,do
0,0,5,27,0,8,156,183.522,6734.706,1122.451,0,0.05,0.46,5612.255,10,164,do
32,8.9,0,0,87,0,0,0,0,0,0.07,0.01,0.15,0,10,0,ph
0,0,5.32,27.9,81.5,4,146,117.552,6700.518,1218.276,0.51,0.024,0.471,5482.242,10,150,do
0,0,5.56,27.8,84.9,0,0,0,0,0,0.117,0.015,0.308,0,5,0,do
34,8.7,0,0,0,4,171,199,6836,1122,0.54,0.05,1.29,5714,17.5,175,ph
0,0,5.58,28.4,86.2,36,90,95.08,6069.62,1094.52,0.05,0.01,0.19,4975.1,17.5,126,do
32.5,9,0,0,87.9,24,112,108.55,6169.12,1094.52,0.05,0.03,0.25,5074.6,10,136,ph
0,0,5.43,28.2,83.5,0,0,0,0,0,0.08,0.02,0.2,0,10,0,do
0,0,5.79,28,0,60,68,91.09,5900,1000,0.21,0.01,0.75,4900,5,128,do
32,9,0,0,88.9,0,0,0,0,0,0.042,0.028,0.538,0,10,0,ph
35,8.6,0,0,0,16,136,112.496,6700.518,1218.276,0.033,0.028,0.272,5482.242,10,152,ph
0,0,0,0,0,0,0,0,0,0,1.157,0.025,0.841,0,5,0,safe
0,0,0,0,135,0,0,0,0,0,0.03,0.01,0.15,0,17.5,0,safe
33.5,8.2,0,0,0,44,84,92.57,6069.62,1094.52,0.05,0.01,0.18,4975.1,17.5,128,safe
32,8.9,0,0,87,12,146,115.644,6734.706,1122.451,1.364,0.022,0.755,5612.255,10,158,ph
32,9,0,0,0,0,0,0,0,0,0.93,0.03,0.879,0,10,0,ph
35,8.4,0,0,0,0,0,0,0,0,0.06,0.02,0.21,0,10,0,ph
35,8.4,0,25.2,0,56,68,84.68,5900,1000,0.05,0.01,0.28,4900,5,124,ph
31,8.9,0,0,0,4,175,209,6938,1224,0.57,0.07,1.02,5714,10,179,ph
31.5,9.1,0,0,0,28,110,102.16,6169.12,1094.52,0.04,0.02,0.2,5074.6,10,138,ph
34,8.4,0,0,0,0,0,0,0,0,0.066,0.011,0.293,0,10,0,ph
35,8.6,0,0,0,24,116,107.44,6802.041,1116.753,0.049,0.025,0.272,5685.288,10,140,ph
33.5,8.6,0,0,0,0,0,0,0,0,0.481,0.013,0.306,0,5,0,ph
32.5,9.2,0,0,0,24,112,109.82,6268.63,1094.52,0.05,0.02,0.2,5174.1,10,136,ph
31.5,9.2,0,0,0,0,0,0,0,0,0.488,0.018,0.32,0,5,0,ph
0,0,0,0,0,48,80,96.33,6169.12,1094.52,0.06,0.01,0.18,5074.6,10,128,safe
0,0,0,0,0,0,0,0,0,0,0.69,0,0.298,0,5,0,safe
31.5,8.9,0,0,87.7,12,140,110.616,6836.747,1122.451,0.61,0.012,0.274,5714.296,10,152,ph
31.5,9.1,0,0,82.9,0,0,0,0,0,0.14,0.01,0.16,0,10,0,ph
33.5,9.1,0,0,0,20,136,204,6938,1122,0.01,0.03,0.21,5816,10,157,ph
34,8.2,0,0,0,0,0,0,0,0,0.05,0.02,0.18,0,10,0,safe
33.5,9,0,0,0,48,70,92.38,5900,1000,0.14,0.01,0.37,4900,5,118,ph
